iter	Passed	Remaining
0	4	4448
1	5	2886
2	7	2479
3	9	2278
4	11	2195
5	12	2132
6	14	2036
7	16	1984
8	17	1964
9	19	1903
10	20	1871
11	22	1845
12	24	1825
13	25	1794
14	27	1775
15	28	1758
16	30	1744
17	31	1718
18	33	1704
19	34	1701
20	36	1691
21	37	1669
22	38	1655
23	40	1646
24	42	1646
25	43	1639
26	45	1629
27	46	1619
28	48	1609
29	49	1597
30	50	1581
31	52	1575
32	53	1567
33	54	1560
34	56	1557
35	57	1544
36	59	1539
37	60	1532
38	61	1525
39	63	1518
40	64	1512
41	66	1510
42	67	1506
43	69	1501
44	70	1499
45	72	1501
46	74	1501
47	75	1499
48	77	1496
49	78	1493
50	79	1488
51	81	1483
52	82	1480
53	84	1481
54	86	1486
55	88	1486
56	90	1490
57	91	1483
58	92	1479
59	94	1476
60	95	1474
61	97	1471
62	98	1465
63	99	1462
64	101	1461
65	103	1461
66	104	1458
67	106	1455
68	107	1452
69	108	1447
70	110	1442
71	111	1437
72	112	1434
73	114	1436
74	116	1438
75	118	1435
76	119	1432
77	120	1429
78	122	1425
79	123	1423
80	124	1418
81	126	1414
82	127	1412
83	129	1408
84	130	1409
85	132	1410
86	134	1407
87	135	1404
88	136	1401
89	138	1398
90	139	1395
91	140	1390
92	142	1387
93	143	1383
94	145	1384
95	147	1384
96	148	1382
97	149	1378
98	151	1374
99	152	1373
100	153	1370
101	155	1367
102	156	1362
103	157	1358
104	159	1355
105	160	1354
106	162	1355
107	164	1357
108	165	1356
109	167	1354
110	168	1352
111	170	1349
112	171	1348
113	173	1345
114	174	1343
115	176	1343
116	177	1343
117	179	1338
118	180	1336
119	182	1339
120	184	1338
121	185	1335
122	186	1332
123	188	1329
124	189	1326
125	190	1320
126	191	1318
127	193	1316
128	195	1316
129	196	1317
130	198	1319
131	200	1320
132	202	1320
133	204	1320
134	206	1321
135	207	1321
136	210	1323
137	212	1324
138	214	1325
139	215	1326
140	217	1324
141	218	1321
142	219	1316
143	221	1316
144	223	1317
145	224	1315
146	225	1310
147	227	1308
148	228	1307
149	230	1306
150	231	1303
151	232	1298
152	233	1294
153	235	1293
154	237	1294
155	239	1293
156	240	1291
157	242	1289
158	243	1287
159	244	1282
160	245	1279
161	246	1276
162	248	1274
163	249	1274
164	251	1274
165	253	1272
166	254	1270
167	256	1267
168	257	1265
169	258	1263
170	260	1260
171	261	1258
172	262	1256
173	264	1254
174	265	1252
175	267	1251
176	268	1250
177	270	1249
178	272	1248
179	273	1248
180	275	1246
181	277	1245
182	278	1243
183	280	1241
184	281	1240
185	283	1239
186	284	1235
187	285	1233
188	286	1230
189	288	1228
190	289	1225
191	290	1223
192	292	1221
193	294	1221
194	296	1222
195	297	1221
196	299	1220
197	300	1217
198	301	1215
199	303	1213
200	304	1210
201	305	1208
202	307	1206
203	308	1204
204	309	1202
205	311	1200
206	312	1198
207	314	1196
208	315	1194
209	317	1192
210	318	1189
211	319	1187
212	320	1184
213	322	1182
214	323	1180
215	324	1178
216	326	1178
217	328	1177
218	329	1175
219	331	1173
220	332	1171
221	333	1170
222	335	1168
223	336	1166
224	337	1163
225	339	1161
226	340	1159
227	342	1158
228	343	1157
229	345	1155
230	346	1153
231	347	1151
232	349	1150
233	350	1148
234	352	1147
235	353	1145
236	355	1143
237	356	1142
238	358	1141
239	360	1140
240	361	1138
241	362	1136
242	364	1134
243	365	1133
244	367	1131
245	368	1129
246	370	1128
247	371	1126
248	373	1125
249	374	1123
250	376	1123
251	378	1122
252	379	1120
253	381	1120
254	382	1118
255	384	1116
256	386	1116
257	387	1115
258	389	1114
259	390	1112
260	392	1110
261	393	1108
262	395	1107
263	396	1105
264	398	1104
265	398	1100
266	400	1098
267	401	1097
268	403	1095
269	404	1094
270	406	1093
271	408	1092
272	409	1090
273	410	1088
274	411	1085
275	413	1083
276	414	1082
277	416	1080
278	417	1080
279	419	1078
280	420	1076
281	422	1075
282	424	1074
283	425	1072
284	426	1070
285	428	1069
286	429	1066
287	430	1063
288	431	1061
289	433	1060
290	434	1059
291	436	1057
292	437	1055
293	438	1053
294	440	1051
295	441	1049
296	442	1048
297	444	1046
298	445	1044
299	446	1041
300	448	1040
301	449	1039
302	451	1038
303	452	1037
304	454	1035
305	455	1033
306	457	1031
307	458	1030
308	459	1028
309	461	1026
310	462	1025
311	464	1024
312	465	1022
313	467	1020
314	468	1019
315	469	1017
316	471	1015
317	472	1013
318	474	1012
319	475	1010
320	476	1008
321	478	1007
322	480	1006
323	481	1004
324	483	1003
325	484	1001
326	485	999
327	487	997
328	488	996
329	489	994
330	491	992
331	492	990
332	494	989
333	495	988
334	497	986
335	498	985
336	499	983
337	501	982
338	502	980
339	504	978
340	505	976
341	506	974
342	508	973
343	510	972
344	511	971
345	512	969
346	514	967
347	515	965
348	516	964
349	518	962
350	519	960
351	521	959
352	522	957
353	524	956
354	525	955
355	526	952
356	528	951
357	529	949
358	530	947
359	532	945
360	533	944
361	534	942
362	536	940
363	537	939
364	538	937
365	540	936
366	541	934
367	542	932
368	544	930
369	545	929
370	546	927
371	548	925
372	549	922
373	550	921
374	551	918
375	552	916
376	553	914
377	555	914
378	557	912
379	557	910
380	559	908
381	560	907
382	562	905
383	563	903
384	564	901
385	565	900
386	567	898
387	568	896
388	569	895
389	571	893
390	572	892
391	574	890
392	575	888
393	576	886
394	578	885
395	579	884
396	581	882
397	582	881
398	584	880
399	586	879
400	587	877
401	589	876
402	590	874
403	591	873
404	593	871
405	594	870
406	595	868
407	597	866
408	598	864
409	599	862
410	601	861
411	602	859
412	603	858
413	605	856
414	606	855
415	608	853
416	609	852
417	610	850
418	612	849
419	613	847
420	615	845
421	616	844
422	618	843
423	619	841
424	621	840
425	622	838
426	623	837
427	625	835
428	626	833
429	627	832
430	628	830
431	630	828
432	631	827
433	633	825
434	634	824
435	635	822
436	637	821
437	638	819
438	640	818
439	641	816
440	642	814
441	644	813
442	645	811
443	646	810
444	648	808
445	649	807
446	651	805
447	652	803
448	653	802
449	655	800
450	656	799
451	658	797
452	659	796
453	660	794
454	662	793
455	664	792
456	665	790
457	666	789
458	668	787
459	669	785
460	670	784
461	672	782
462	673	781
463	674	779
464	675	777
465	677	776
466	679	775
467	680	773
468	682	772
469	684	771
470	685	770
471	687	768
472	688	767
473	690	765
474	691	764
475	693	763
476	694	761
477	696	760
478	697	758
479	698	757
480	700	755
481	701	753
482	702	752
483	704	750
484	705	748
485	706	747
486	707	745
487	709	744
488	710	742
489	712	741
490	713	739
491	714	738
492	716	736
493	717	735
494	719	733
495	720	732
496	721	730
497	723	729
498	725	728
499	726	726
500	727	724
501	729	723
502	730	722
503	732	720
504	733	719
505	734	717
506	736	715
507	737	714
508	739	712
509	740	711
510	742	710
511	743	709
512	745	707
513	746	705
514	747	704
515	749	702
516	750	701
517	751	699
518	753	698
519	755	697
520	757	696
521	758	694
522	760	693
523	762	692
524	763	690
525	765	689
526	766	687
527	768	686
528	769	685
529	771	684
530	773	682
531	774	681
532	776	680
533	777	678
534	779	677
535	780	675
536	782	674
537	783	672
538	785	671
539	787	670
540	788	669
541	790	667
542	791	666
543	793	664
544	794	663
545	796	661
546	797	660
547	798	658
548	800	657
549	802	656
550	803	654
551	805	653
552	806	651
553	807	650
554	809	648
555	810	647
556	812	645
557	813	644
558	815	643
559	816	641
560	818	640
561	819	638
562	821	637
563	822	636
564	824	634
565	825	633
566	827	631
567	828	630
568	830	629
569	832	627
570	833	626
571	835	624
572	836	623
573	837	621
574	839	620
575	840	618
576	842	617
577	843	616
578	845	614
579	847	613
580	848	611
581	849	610
582	850	608
583	852	607
584	853	605
585	855	604
586	856	602
587	858	601
588	859	599
589	861	598
590	863	597
591	864	595
592	865	594
593	867	592
594	868	591
595	869	589
596	871	588
597	872	586
598	874	585
599	875	583
600	877	582
601	879	581
602	880	580
603	882	578
604	883	577
605	885	575
606	886	574
607	888	572
608	889	571
609	891	570
610	893	568
611	894	567
612	896	565
613	897	564
614	898	562
615	900	561
616	901	559
617	903	558
618	904	556
619	906	555
620	907	554
621	909	552
622	910	551
623	912	549
624	913	548
625	915	546
626	916	545
627	917	543
628	919	542
629	920	540
630	922	539
631	923	537
632	925	536
633	926	534
634	928	533
635	929	532
636	931	530
637	932	529
638	933	527
639	935	526
640	937	524
641	938	523
642	940	521
643	941	520
644	943	519
645	945	517
646	946	516
647	948	515
648	949	513
649	951	512
650	953	510
651	954	509
652	955	507
653	957	506
654	958	504
655	959	503
656	961	501
657	962	500
658	964	498
659	965	497
660	967	496
661	969	494
662	970	493
663	972	491
664	973	490
665	974	488
666	976	487
667	977	485
668	978	484
669	980	482
670	981	481
671	983	479
672	984	478
673	985	476
674	987	475
675	988	473
676	990	472
677	991	470
678	992	469
679	994	467
680	995	466
681	997	465
682	999	463
683	1000	462
684	1001	460
685	1003	459
686	1004	457
687	1005	456
688	1007	454
689	1008	453
690	1009	451
691	1011	450
692	1013	448
693	1014	447
694	1016	446
695	1017	444
696	1019	443
697	1020	441
698	1022	440
699	1023	438
700	1024	437
701	1026	435
702	1028	434
703	1029	432
704	1031	431
705	1032	429
706	1033	428
707	1035	426
708	1036	425
709	1038	424
710	1039	422
711	1040	421
712	1042	419
713	1044	418
714	1045	416
715	1047	415
716	1048	413
717	1049	412
718	1051	410
719	1052	409
720	1053	407
721	1055	406
722	1057	405
723	1058	403
724	1060	402
725	1061	400
726	1063	399
727	1064	397
728	1066	396
729	1067	394
730	1069	393
731	1070	391
732	1072	390
733	1073	389
734	1075	387
735	1076	386
736	1078	384
737	1079	383
738	1080	381
739	1082	380
740	1083	378
741	1085	377
742	1086	375
743	1088	374
744	1089	372
745	1091	371
746	1092	370
747	1093	368
748	1095	366
749	1096	365
750	1098	364
751	1099	362
752	1101	361
753	1102	359
754	1105	358
755	1106	357
756	1108	355
757	1109	354
758	1111	353
759	1113	351
760	1114	350
761	1116	348
762	1117	347
763	1119	345
764	1120	344
765	1122	342
766	1123	341
767	1125	339
768	1126	338
769	1128	336
770	1129	335
771	1131	334
772	1132	332
773	1134	331
774	1135	329
775	1137	328
776	1138	326
777	1140	325
778	1141	323
779	1143	322
780	1144	320
781	1145	319
782	1147	318
783	1149	316
784	1151	315
785	1153	314
786	1154	312
787	1156	311
788	1157	309
789	1158	308
790	1160	306
791	1161	305
792	1163	303
793	1164	302
794	1166	300
795	1167	299
796	1169	297
797	1170	296
798	1171	294
799	1173	293
800	1174	291
801	1176	290
802	1177	288
803	1179	287
804	1180	286
805	1182	284
806	1183	283
807	1185	281
808	1186	280
809	1188	278
810	1189	277
811	1191	275
812	1193	274
813	1194	273
814	1196	271
815	1198	270
816	1199	268
817	1200	267
818	1202	265
819	1203	264
820	1205	262
821	1206	261
822	1207	259
823	1209	258
824	1210	256
825	1212	255
826	1213	253
827	1214	252
828	1216	250
829	1217	249
830	1218	247
831	1220	246
832	1221	244
833	1222	243
834	1224	241
835	1226	240
836	1227	239
837	1228	237
838	1230	236
839	1231	234
840	1232	233
841	1234	231
842	1235	230
843	1236	228
844	1238	227
845	1240	225
846	1241	224
847	1243	222
848	1244	221
849	1245	219
850	1247	218
851	1248	216
852	1250	215
853	1251	213
854	1252	212
855	1254	210
856	1255	209
857	1257	208
858	1258	206
859	1259	205
860	1261	203
861	1262	202
862	1264	200
863	1265	199
864	1266	197
865	1268	196
866	1269	194
867	1271	193
868	1273	191
869	1274	190
870	1275	188
871	1277	187
872	1278	186
873	1280	184
874	1281	183
875	1282	181
876	1284	180
877	1285	178
878	1287	177
879	1288	175
880	1290	174
881	1291	172
882	1292	171
883	1294	169
884	1295	168
885	1296	166
886	1298	165
887	1299	163
888	1301	162
889	1302	160
890	1303	159
891	1305	158
892	1306	156
893	1307	155
894	1309	153
895	1311	152
896	1312	150
897	1313	149
898	1315	147
899	1317	146
900	1318	144
901	1320	143
902	1321	141
903	1323	140
904	1325	139
905	1327	137
906	1328	136
907	1330	134
908	1331	133
909	1332	131
910	1334	130
911	1335	128
912	1337	127
913	1338	125
914	1340	124
915	1341	123
916	1342	121
917	1344	120
918	1345	118
919	1346	117
920	1348	115
921	1349	114
922	1351	112
923	1353	111
924	1354	109
925	1356	108
926	1357	106
927	1359	105
928	1360	103
929	1362	102
930	1363	101
931	1365	99
932	1367	98
933	1368	96
934	1370	95
935	1371	93
936	1373	92
937	1374	90
938	1375	89
939	1377	87
940	1378	86
941	1380	84
942	1381	83
943	1383	82
944	1385	80
945	1386	79
946	1388	77
947	1389	76
948	1391	74
949	1392	73
950	1394	71
951	1395	70
952	1396	68
953	1398	67
954	1400	65
955	1401	64
956	1402	63
957	1404	61
958	1405	60
959	1407	58
960	1408	57
961	1410	55
962	1411	54
963	1413	52
964	1414	51
965	1416	49
966	1417	48
967	1419	46
968	1420	45
969	1421	43
970	1423	42
971	1424	41
972	1426	39
973	1427	38
974	1429	36
975	1431	35
976	1432	33
977	1433	32
978	1435	30
979	1436	29
980	1437	27
981	1439	26
982	1440	24
983	1441	23
984	1443	21
985	1445	20
986	1446	19
